Timestamp,Your preferred/playa name,Title of Event,Event Description,Type of Event,Is your event family friendly?,At what time does the event start,For how long does the event run,What day(s) is the event occurring,Location,All-day events
09/07/2019 22:41:18,Little*Daddy,AgePlay LittleSpace Party for Stuffies & Plushies,"**Come to the little side of life!**
Bring your *stuffie, plushies and other little fun toys* to the **LittleSpace** and let them celebrate The Borderland too. It would be an AgePlay, Adult-Child / Adult-Baby happening, full of joy and many *little* fun. Prefect if you are tired of heavy adulting at Borderland.",Party/Gathering,Nooooope 💦,16:20:00,12:00:00,Sunday 28.,{adult} LittleSpace,
09/07/2019 22:40:32,Little*Daddy,LittleSpace Q&A and AgePlay-Sessions for Adults.,"You want to know more about the LittleSpace?
You want to **discover** and live out **your little side**?
You need a break from being grown up?
Then come to LittleSpace.
Really every one is welcome. Humans, Alians, or Unicorns. It's kink / fetish related and can be a soft part of BDSM. (*AgePlay, ABDL, AdultBaby, DDlg, MDlb, CGl,..*)",Workshop/Class,Nooooope 💦,16:20:00,10:00:00,"Wednesday 24., Thursday 25., Saturday 27.",{adult} LittleSpace,Event runs all-day
01/07/2019 14:43:26,pixelmagician,Photo Magician Adventures,Find the pixel magician walking around with the Pixel Stick! Express consent to get your photo taken! ,Games,Yes 🧸,00:00:00,0:00:00,"Monday 22., Tuesday 23., Wednesday 24., Thursday 25., Friday 26., Saturday 27., Sunday 28.",Somewhere in the Playa,Event runs all-day
01/07/2019 14:44:02,Axelander,The Inauguration of the new Supreme Leader,"This is it! Here you will find out who will be our new Supreme Leader, a highly important role to make any organisation work properly. The votes will be counted from ""The Presidential Election"" by our highly trusted government who will oversee the task with great responsibilty. Come and find out who you will be sucking up to for the next year! ",Ritual/Ceremony,Yes 🧸,21:00:00,0:30:00,Saturday 27.,The federal Government of the Borderland,
01/07/2019 14:51:27,Byron The Human,Tipi Chillout Music Meditation,"If you need a break from the sun or the rain. Lie down and take a rest, move your body to the rhythms or just listen to the music.",DJ/Music,Yes 🧸,16:00:00,2:00:00,Tuesday 23.,[re]connect,
01/07/2019 14:53:05,Byron The Human,Tipi Chillout Music Meditation ,"If you need a break from the sun or the rain. Lie down and take a rest, move your body to the rhythms or just listen to the music.",DJ/Music,Yes 🧸,16:00:00,2:00:00,Saturday 27.,[re]connect,
01/07/2019 15:17:07,Claus & Trine,Squirting Orgasm,"Would you like to learn how to give a Squirting
Orgasm or would you like to try to get one? 
Then join us for this fun and educational PlayShop where we
explain, demonstrate and let you try it out hands-on on your own play partner. ",Workshop/Class,Nooooope 💦,13:00:00,1:30:00,Tuesday 23.,Camp Serendipity,
01/07/2019 15:19:36,Funky Munky,Ecstatic Dance,"Connect with your inner spark and express yourself through dance and conscious movement. 
Embrace the music, move ecstatically, do handstands and cartwheels, do contact improv with a borderling, meditate in the corner or just dance like no one's watching or like the whole universe is watching! 

Please show up on time, be sober, barefoot and consider everyone's boundaries! 
",DJ/Music,Yes 🧸,21:00:00,2:00:00,Thursday 25.,Butterfly effect camp,
05/07/2019 10:11:16,Claus & Trine,Tantric Touch,"Enter this sensual tantric PlayShop and enjoy the different flavors of touching. 

Participants are divided into 3 groups – one group receiving – 2 groups giving the touch  they
feel the person needs – from soft touching, strokes, massage, kisses etc.  There will be a group rotation.",Workshop/Class,Nooooope 💦,16:00:00,1:30:00,Wednesday 24.,Camp Serendipity,
01/07/2019 15:27:33,Claus & Trine,Domination and Impact Play (spanking),"Would you like to know more about domination and make her/him go aaahhh instead of ouch…..?

Then join us for this fun and educational introduction to
domination and impact play. We will explain, demonstrate and let you try it out
""hands-on"" on your own play partner. 
",Workshop/Class,Nooooope 💦,16:00:00,1:30:00,Tuesday 23.,Camp Serendipity,
01/07/2019 15:29:14,Home,Platonic Cuddle Puddle,"You are warmly welcome to our Platonic Cuddle Puddle in Camp Wonderland!  This workshop is a cosy get-together with room for nonsexual, physical intimacy through cuddling. All you need to bring is comfortable clothes.
",Workshop/Class,🤷‍♀️,15:30:00,1:30:00,Wednesday 24.,Wonderland,
